#vs30_ref=800,,,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.5),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.5),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
MSQ1,0.001,1.7035,1.9586,2.2495,3.3461,2.513,2.9304,2.3775,1.7131,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0016,1.7091,1.9483,2.2218,3.2747,2.512,2.9212,2.379,1.7149,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0025,1.7143,1.9375,2.1935,3.201,2.5112,2.9124,2.379,1.7144,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.004,1.72,1.9262,2.1645,3.1276,2.5104,2.9042,2.3882,1.7159,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0063,1.7268,1.9148,2.1361,3.0585,2.5088,2.8949,2.404,1.7175,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0099,1.7343,1.9044,2.11,2.9987,2.5048,2.882,2.4218,1.7257,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0157,1.7346,1.8955,2.0863,2.9426,2.5051,2.8615,2.4485,1.742,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0248,1.7253,1.8874,2.0602,2.8406,2.5105,2.8391,2.4981,1.7728,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0393,1.7275,1.8661,2.0091,2.692,2.5218,2.8134,2.5896,1.8152,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0621,1.7311,1.8384,1.9502,2.5314,2.5494,2.7832,2.7427,1.8806,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.0983,1.7199,1.8079,1.8864,2.3457,2.6121,2.7779,2.9997,1.9688,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.1556,1.6868,1.7734,1.8199,2.1576,2.7159,2.8102,3.1792,2.2849,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.2461,1.649,1.7225,1.7589,2.018,2.7011,2.7656,2.9333,3.0588,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.3895,1.5808,1.6637,1.7754,1.985,2.5033,2.474,2.5664,2.7808,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.6162,1.4918,1.5957,1.8068,1.9524,2.0743,2.0867,2.2826,2.6893,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,0.975,1.3551,1.5216,1.8415,1.9316,1.8362,1.819,1.9799,2.621,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,1.5426,1.1968,1.4418,1.7091,1.7204,1.5657,1.5763,1.9118,2.566,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,2.4408,1.0557,1.3367,1.3813,1.4085,1.3355,1.3583,1.8818,2.5122,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,3.8618,0.9281,1.2368,1.1044,1.1497,1.131,1.1668,1.8661,2.4595,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ1,6.1102,0.8157,1.1414,0.8756,0.9287,0.9568,1.0023,1.8506,2.4079,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.001,1.8413,1.5834,2.2001,2.6373,1.5957,1.4364,1.2153,1.1359,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0016,1.8474,1.5833,2.1928,2.6504,1.6021,1.4398,1.2161,1.1391,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0025,1.8535,1.583,2.1853,2.6643,1.6085,1.443,1.2162,1.1401,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.004,1.8597,1.5825,2.1775,2.6783,1.6144,1.4459,1.2226,1.144,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0063,1.8661,1.5821,2.1699,2.6919,1.6196,1.4497,1.2295,1.1454,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0099,1.8716,1.5817,2.1628,2.7043,1.6261,1.4564,1.2343,1.141,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0157,1.8763,1.5819,2.1564,2.7175,1.64,1.4662,1.2329,1.1326,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0248,1.8787,1.5821,2.1496,2.7399,1.6567,1.4747,1.2383,1.1326,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0393,1.8865,1.5802,2.135,2.7667,1.6723,1.4822,1.2398,1.1276,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0621,1.8988,1.5793,2.115,2.7917,1.6963,1.4979,1.2447,1.1312,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.0983,1.8987,1.5828,2.091,2.812,1.7402,1.5227,1.2435,1.1336,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.1556,1.8897,1.5851,2.0549,2.8055,1.8156,1.5652,1.2532,1.1389,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.2461,1.8784,1.5846,2.0032,2.716,1.955,1.634,1.2718,1.1667,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.3895,1.8749,1.5872,1.9409,2.5553,2.3037,1.8158,1.3231,1.2105,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.6162,1.8827,1.6049,1.8837,2.3736,2.6129,2.3329,1.6533,1.3647,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,0.975,1.9445,1.6606,1.8566,2.2217,2.6372,2.675,2.26,1.4563,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,1.5426,1.9218,1.7702,1.9426,2.1961,2.5107,2.6936,2.5835,1.4563,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,2.4408,1.9059,1.8858,2.0088,2.1025,2.3341,2.6751,2.5958,1.4563,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,3.8618,1.8787,1.9498,2.0125,2.0046,2.1664,2.6153,2.5958,1.4563,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ2,6.1102,1.8514,2.0069,2.008,1.9044,2.0077,2.5569,2.5958,1.4563,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.001,1.9858,2.1314,3.1129,2.4488,2.4127,2.3546,1.9758,1.453,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0016,2.0035,2.1295,3.1118,2.4737,2.4279,2.3675,1.978,1.4595,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0025,2.0212,2.1274,3.1101,2.5004,2.4436,2.3801,1.9797,1.4627,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.004,2.0392,2.125,3.1079,2.5281,2.4583,2.3917,1.9925,1.4716,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0063,2.0572,2.1226,3.1057,2.5549,2.4711,2.4036,2.0088,1.4801,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0099,2.0746,2.1206,3.1047,2.5777,2.4847,2.4212,2.0253,1.4881,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0157,2.0915,2.1193,3.1058,2.5976,2.5153,2.4551,2.0415,1.4934,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0248,2.1078,2.1183,3.1078,2.6425,2.5579,2.4908,2.0759,1.52,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0393,2.1354,2.1114,3.0907,2.7211,2.6084,2.5424,2.1266,1.5406,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0621,2.1757,2.102,3.0587,2.8195,2.6904,2.6259,2.2093,1.6027,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.0983,2.2043,2.0931,3.0091,2.9739,2.8474,2.7755,2.3246,1.6888,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.1556,2.2161,2.0785,2.9188,3.1737,3.1626,3.0342,2.5484,1.8319,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.2461,2.2218,2.0484,2.7765,3.2996,3.6557,3.7387,3.2445,2.418,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.3895,2.2244,2.0018,2.6173,3.2653,3.8697,4.0206,4.3177,3.8794,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.6162,2.0552,1.9413,2.4769,3.1247,3.5004,3.4065,3.5693,5.2005,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,0.975,1.8956,1.8779,2.3312,2.7263,2.7463,2.856,3.418,5.8853,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,1.5426,1.7711,1.7747,2.0425,2.2502,2.3756,2.4828,3.1886,5.8853,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,2.4408,1.662,1.7056,1.87,1.9662,2.0429,2.1862,2.9514,5.8853,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,3.8618,1.5637,1.6557,1.7234,1.7159,1.7846,1.9518,2.724,5.8853,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ3,6.1102,1.4714,1.6088,1.5986,1.5119,1.5625,1.7425,2.514,5.8853,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.001,1.3953,1.5277,2.093,1.814,2.1463,2.3258,2.3758,1.7769,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0016,1.4027,1.5291,2.0776,1.8132,2.1302,2.313,2.3788,1.7774,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0025,1.4098,1.5303,2.0615,1.8123,2.114,2.3007,2.3809,1.7771,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.004,1.4172,1.5314,2.0449,1.8114,2.099,2.2895,2.3907,1.7771,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0063,1.4256,1.5323,2.0284,1.8106,2.0856,2.2779,2.4073,1.7789,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0099,1.4351,1.5334,2.0135,1.8099,2.0703,2.2604,2.4265,1.789,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0157,1.439,1.5352,2.0008,1.8086,2.0409,2.2277,2.4564,1.8098,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0248,1.435,1.5377,1.9871,1.8064,2.0036,2.1933,2.499,1.8386,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0393,1.4389,1.537,1.9528,1.806,1.9637,2.1488,2.5538,1.8887,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0621,1.4421,1.5379,1.9099,1.8085,1.9134,2.0838,2.5829,1.9799,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.0983,1.434,1.5409,1.858,1.8167,1.8507,2.0052,2.5597,2.1476,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.1556,1.4126,1.5481,1.7877,1.8309,1.7942,1.9275,2.4224,2.6548,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.2461,1.3851,1.5537,1.6886,1.8513,1.7776,1.8917,2.2674,2.7264,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.3895,1.3805,1.5552,1.5971,1.8768,1.8394,1.8989,2.165,2.5739,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.6162,1.3504,1.5313,1.5288,1.8842,1.9213,1.9465,2.0981,2.161,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,0.975,1.2753,1.48,1.5252,1.8009,1.8305,1.8159,1.8592,1.7915,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,1.5426,1.1687,1.4118,1.4869,1.6171,1.5887,1.6221,1.5795,1.4812,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,2.4408,1.0712,1.3055,1.3803,1.4312,1.3738,1.438,1.3323,1.2246,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,3.8618,0.9782,1.1906,1.2583,1.2626,1.1775,1.2635,1.1209,1.0125,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ4,6.1102,0.8931,1.0832,1.1433,1.1127,1.0078,1.1101,0.9431,0.8371,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.001,1.781,1.9038,2.7113,1.9695,2.633,2.7669,1.9314,1.6032,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0016,1.7929,1.9007,2.7198,1.9705,2.6161,2.7637,1.9325,1.6064,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0025,1.8048,1.8972,2.7283,1.9716,2.5989,2.7589,1.9328,1.6078,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.004,1.8168,1.8933,2.7368,1.9727,2.5828,2.7526,1.9434,1.6121,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0063,1.8294,1.8894,2.7453,1.9738,2.569,2.7489,1.9584,1.6166,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0099,1.8426,1.8861,2.7537,1.9745,2.5547,2.7407,1.9744,1.6233,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0157,1.8528,1.8838,2.7628,1.9745,2.5231,2.7214,1.9919,1.6323,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0248,1.8563,1.882,2.7735,1.976,2.4789,2.6967,2.0281,1.655,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0393,1.8654,1.8721,2.783,1.9814,2.4264,2.6541,2.0848,1.684,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0621,1.8785,1.8588,2.7882,1.9899,2.3569,2.5854,2.1895,1.7419,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.0983,1.8777,1.8449,2.7861,2.0101,2.2637,2.4836,2.3884,1.828,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.1556,1.8702,1.8248,2.754,2.0571,2.1598,2.3554,2.6749,2.0229,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.2461,1.8493,1.792,2.657,2.1815,2.076,2.2474,2.663,2.7568,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.3895,1.8585,1.7507,2.5055,2.4296,2.0582,2.1931,2.6205,3.2591,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.6162,1.8859,1.7006,2.3146,2.6832,2.3729,2.5609,2.9769,2.8681,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,0.975,1.9001,1.6684,2.19,2.7102,2.8521,2.9247,3.0732,2.461,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,1.5426,1.8249,1.6583,2.1113,2.6192,2.8593,3.0009,2.7256,2.0927,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,2.4408,1.7566,1.6387,2.0173,2.3924,2.8256,3.0661,2.3526,1.7796,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,3.8618,1.68,1.6102,1.9053,2.1788,2.738,3.0691,2.0101,1.5133,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ6,6.1102,1.6063,1.5799,1.7962,1.9703,2.6413,3.0691,1.7175,1.2869,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.001,1.2486,1.4777,1.608,2.0285,1.8847,2.1773,2.5628,2.2961,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0016,1.2556,1.473,1.6112,2.0202,1.8747,2.1618,2.5577,2.2979,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0025,1.2623,1.4679,1.6146,2.0112,1.8647,2.147,2.5539,2.3003,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.004,1.2692,1.4624,1.6182,2.0019,1.8555,2.1335,2.536,2.3024,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0063,1.2774,1.4567,1.6217,1.9932,1.8473,2.1191,2.5097,2.3081,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0099,1.287,1.4518,1.625,1.9865,1.8372,2.0977,2.4781,2.3294,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0157,1.29,1.4482,1.6283,1.9809,1.8176,2.0598,2.44,2.3776,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0248,1.2843,1.4457,1.6319,1.9648,1.7938,2.0209,2.3712,2.4289,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0393,1.2871,1.4326,1.6403,1.9372,1.7701,1.9726,2.2986,2.5222,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0621,1.2875,1.4146,1.6537,1.9053,1.7393,1.9047,2.2117,2.6525,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.0983,1.2752,1.3939,1.67,1.8543,1.7007,1.83,2.1476,2.7175,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.1556,1.2433,1.3688,1.6712,1.7757,1.6725,1.7631,2.0411,2.6331,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.2461,1.1923,1.33,1.6145,1.6939,1.6834,1.734,1.9645,2.4834,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.3895,1.1433,1.2821,1.5197,1.6457,1.6856,1.7053,1.8657,2.3238,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.6162,1.0759,1.2164,1.4091,1.5668,1.5745,1.5998,1.7288,2.0816,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,0.975,0.9938,1.1527,1.3169,1.4603,1.4336,1.4408,1.5225,1.8594,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,1.5426,0.8915,1.0847,1.1961,1.3088,1.2673,1.2721,1.3018,1.6583,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,2.4408,0.8004,1.0002,1.0485,1.128,1.1151,1.1206,1.111,1.4789,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,3.8618,0.7159,0.9154,0.91,0.9681,0.9786,0.9841,0.9471,1.3189,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MSQ8,6.1102,0.6403,0.8359,0.7879,0.827,0.8583,0.8642,0.8073,1.1762,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.001,1.4821,1.8077,2.0875,2.1705,1.962,2.2093,2.5229,2.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0016,1.4929,1.8045,2.0869,2.1767,1.9503,2.1946,2.5204,2.3049,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0025,1.5035,1.801,2.0862,2.1831,1.9386,2.1804,2.5189,2.3095,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.004,1.5143,1.7971,2.0854,2.1896,1.9277,2.1675,2.5095,2.3151,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0063,1.5262,1.793,2.0846,2.196,1.918,2.1542,2.4922,2.3215,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0099,1.5394,1.7897,2.0839,2.2019,1.9069,2.1346,2.4699,2.3417,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0157,1.5475,1.7874,2.0833,2.2078,1.8851,2.0979,2.4389,2.3839,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0248,1.5457,1.7859,2.0821,2.2167,1.8571,2.059,2.3836,2.4327,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0393,1.5499,1.7757,2.0805,2.2289,1.827,2.0084,2.316,2.5186,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0621,1.5533,1.7602,2.0801,2.2428,1.788,1.9378,2.2315,2.6539,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.0983,1.5383,1.7412,2.0821,2.259,1.7398,1.8588,2.1617,2.7212,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.1556,1.5016,1.7137,2.0844,2.2631,1.7048,1.7892,2.0428,2.6394,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MS10,0.2461,1.4317,1.6685,2.0535,2.2247,1.7063,1.7581,1.9588,2.4621,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
